index,title,releaseDate,fandom
0,The Politician,09/27/2019,https://thepolitician.fandom.com/wiki/The_Politician_Wiki
1,Gilmore Girls,10/05/2000,https://gilmoregirls.fandom.com/wiki/Gilmorepedia
2,Sex Education,01/11/2019,https://sexeducation.fandom.com/wiki/Sex_Education_Wiki
3,Chilling Adventures of Sabrina,10/26/2018,https://riverdale.fandom.com/wiki/Chilling_Adventures_of_Sabrina
4,Everything Sucks!,02/16/2018,https://everythingsucks.fandom.com/wiki/Everything_Sucks!
5,Glee,05/19/2009,https://glee.fandom.com/wiki/Glee_Wiki
6,Stranger Things,07/15/2016,https://strangerthings.fandom.com/wiki/Stranger_Things_Wiki
7,I Am Not Okay With This,02/26/2020,https://iamnotokaywiththis.fandom.com/wiki/I_Am_Not_Okay_With_This_Wiki
8,Atypical,08/11/2017,https://atypical.fandom.com/wiki/Atypical_Wiki
9,Daybreak,10/24/2019,https://daybreak-netflix.fandom.com/wiki/Daybreak_Wiki
10,Looking for Alaska,10/18/2019,https://johngreen.fandom.com/wiki/Looking_for_Alaska
11,Secret Life of the American Teenager,07/01/2008,https://secretlife.fandom.com/wiki/Main_Page
12,Dare Me,12/29/2019,https://dare-me.fandom.com/wiki/Dare_Me_Wiki
13,The 100,03/19/2014,https://the100.fandom.com/wiki/The_100_Wiki
14,The Society,05/10/2019,https://the-society-netflix.fandom.com/wiki/The_Society_Wiki
15,Riverdale,01/26/2017,https://riverdale.fandom.com/wiki/Riverdale
16,13 Reasons Why,03/21/2017,https://13reasonswhy.fandom.com/wiki/13_Reasons_Why_Wiki
17,Derry Girls,03/21/2017,https://derry.fandom.com/wiki/Derry_Wiki
18,Gossip Girl,09/19/2007,https://gossipgirl.fandom.com/wiki/Gossip_Girl_(TV_Series)
19,Gossip Girl Revival,07/08/2021,https://gossipgirl.fandom.com/wiki/Gossip_Girl_(2021_TV_Series)
20,The Wilds,12/11/2020,https://the-wilds.fandom.com/wiki/The_Wilds_Wiki
21,Outer Banks,04/15/2020,https://outer-banks-netflix.fandom.com/wiki/Outer_Banks_Wiki
22,On My Block,03/16/2018,https://on-my-block.fandom.com/wiki/On_My_Block_Wiki
23,Never Have I Ever,04/27/2020,https://never-have-i-ever.fandom.com/wiki/Never_Have_I_Ever_Wiki
24,Runaways,11/21/2017,https://runaways.fandom.com/wiki/Runaways_Wiki
25,All American,10/10/2018,https://allamerican.fandom.com/wiki/All_American_Wiki
26,Euphoria,06/16/2019,https://euphoria.fandom.com/wiki/Euphoria_Wiki
27,One Tree Hill,09/23/2003,https://onetreehill.fandom.com/wiki/One_Tree_Hill_Wiki
28,The O.C.,08/05/2003,https://oc.fandom.com/wiki/The_O.C._Wikia
29,"Love, Victor",06/17/2020,"https://love-simon.fandom.com/wiki/Love,_Victor"
30,Trinkets,06/14/2019,https://trinkets-netflix.fandom.com/wiki/Trinkets_Wiki
31,Pretty Little Liars,06/08/2010,https://prettylittleliars.fandom.com/wiki/Main_Page
32,Locke & Key,02/07/2020,https://lockekey.fandom.com/wiki/Locke_%26_Key_Wiki
